"AgencyCd","SiteNo","AgencyNm","SiteName","DecLatVa","DecLongVa","HorzDatum","HorzMethod","HorzAcy","AltVa","AltUnits","AltUnitsNm","AltDatumCd","AltMethod","AltAcy","WellDepth","WellDepthUnits","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","CountryCd","CountryNm","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferName","SiteType","AquiferType","QwSysName","QwSnFlag","QwSnDesc","QwBaselineFlag","QwBaselineDesc","QwWellChars","QwWellCharsDesc","QwWellType","QwWellTypeDesc","QwWellPurpose","QwWellPurposeDesc","WlSnFlag","WlSnDesc","WlBaselineFlag","WlBaselineDesc","Link","SiteId"
"USGS","393117074484101","U.S. Geological Survey","011271-- Suscp10","39.52150000000000318323145621","-74.81033333333330404002481373","NAD83","North American Datum of 1983","5","70","1","Feet","NGVD29","M","5.0","100","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","34","New Jersey","001","Atlantic County","Cohansey Sand-Kirkwood Formation","WELL","UNCONFINED","NAWQA linjsus2 Network","1","Yes","1","Yes","3","Known Changes","3","Special","2","Other","0","No","0","No","https://waterdata.usgs.gov/monitoring-location/393117074484101","USGS-393117074484101"
"USGS","392335074410801","U.S. Geological Survey","011281-- Suscp26","39.39319444444439710650840425","-74.68508333333329574088566005","NAD83","North American Datum of 1983","5","65","1","Feet","NGVD29","M","2.5","157","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","34","New Jersey","001","Atlantic County","Cohansey Sand-Kirkwood Formation","WELL","UNCONFINED","NAWQA linjsus2 Network","1","Yes","1","Yes","3","Known Changes","3","Special","2","Other","0","No","0","No","https://waterdata.usgs.gov/monitoring-location/392335074410801","USGS-392335074410801"
"USGS","395806074540501","U.S. Geological Survey","051500-- CambrCross MW11","39.96844586614140126812344533","-74.90099954771820023324835347","NAD27","North American Datum of 1927","S","50","1","Feet","NGVD29","M","5.0","19.5","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","34","New Jersey","005","Burlington County","Englishtown Formation","WELL","UNCONFINED","NJ WSC NWIS QWDATA DATABASE","1","Yes","0","No","3","Known Changes","1","Surveillance","1","Dedicated Monitoring/Observation","0","No","0","No","https://waterdata.usgs.gov/monitoring-location/395806074540501","USGS-395806074540501"
"USGS","394640074323201","U.S. Geological Survey","051504-- MW58","39.77789620415590121638160781","-74.54181929741139356337953359","NAD27","North American Datum of1927","S","68","1","Feet","NGVD29","M","5.0","10","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","34","New Jersey","005","Burlington County","Cohansey Sand-Kirkwood Formation","WELL","UNCONFINED","NJ WSC NWIS QWDATA DATABASE","1","Yes","0","No","3","Known Changes","1","Surveillance","1","Dedicated Monitoring/Observation","0","No","0","No","https://waterdata.usgs.gov/monitoring-location/394640074323201","USGS-394640074323201"
"USGS","401021074030601","U.S. Geological Survey","250795-- MW67","40.17261380559399697176559130","-74.05124909218559992041264195","NAD27","North American Datum of 1927","S","47","1","Feet","NGVD29","M","2.5","27.5","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","34","New Jersey","025","Monmouth County","Cohansey Sand-Kirkwood Formation","WELL","UNCONFINED","NJ WSC NWIS QWDATA DATABASE","1","Yes","0","No","3","Known Changes","1","Surveillance","1","Dedicated Monitoring/Observation","0","No","0","No","https://waterdata.usgs.gov/monitoring-location/401021074030601","USGS-401021074030601"
"USGS","395815074442101","U.S. Geological Survey","051403-- MW-2","39.97094597527959791705143289","-74.73877152306610582854773384","NAD27","North American Datum of 1927","S","60","1","Feet","NGVD29","M","5.0","13","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","34","New Jersey","005","Burlington County","Hornerstown Sand","WELL","UNCONFINED","NJ WSC NWIS QWDATA DATABASE","1","Yes","0","No","3","Known Changes","1","Surveillance","1","Dedicated Monitoring/Observation","0","No","0","No","https://waterdata.usgs.gov/monitoring-location/395815074442101","USGS-395815074442101"
"USGS","395143075044101","U.S. Geological Survey","071005-- Bellmawr MW17","39.86205796176680138387382613","-75.07767273267380403467541328","NAD27","North American Datum of 1927","S","15","1","Feet","NGVD29","M","5.0","13.61999999999999921840299066","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","34","New Jersey","007","Camden County","Englishtown Formation","WELL","UNCONFINED","NJ WSC NWIS QWDATA DATABASE","1","Yes","0","No","3","Known Changes","1","Surveillance","1","Dedicated Monitoring/Observation","0","No","0","No","https://waterdata.usgs.gov/monitoring-location/395143075044101","USGS-395143075044101"
"USGS","395836074542701","U.S. Geological Survey","051478-- Moorestown MW7","39.97677906956700155660655582","-74.90711098944730395032820525","NAD27","North American Datum of 1927","S","80","1","Feet","NGVD29","M","5.0","22.5","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","34","New Jersey","005","Burlington County","Englishtown Formation","WELL","UNCONFINED","NJ WSC NWIS QWDATA DATABASE","1","Yes","0","No","3","Known Changes","1","Surveillance","1","Dedicated Monitoring/Observation","0","No","0","No","https://waterdata.usgs.gov/monitoring-location/395836074542701","USGS-395836074542701"
"USGS","395417074143401","U.S. Geological Survey","291402-- Doubletrouble MW60","39.90484055462960100157943089","-74.24236494052900070528266951","NAD27","North American Datum of 1927","S","37","1","Feet","NGVD29","M","2.5","8","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","34","New Jersey","029","Ocean County","Cohansey Sand-Kirkwood Formation","WELL","UNCONFINED","NJ WSC NWIS QWDATA DATABASE","1","Yes","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","0","No","0","No","https://waterdata.usgs.gov/monitoring-location/395417074143401","USGS-395417074143401"
"USGS","400529074260601","U.S. Geological Survey","291403-- Colliersmills MW65","40.09150276844970051115524257","-74.43459501229220620643900475","NAD27","North American Datum of 1927","S","135","1","Feet","NGVD29","M","5.0","10.5","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","34","New Jersey","029","Ocean County","Cohansey Sand-Kirkwood Formation","WELL","UNCONFINED","NJ WSC NWIS QWDATA DATABASE","1","Yes","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","0","No","0","No","https://waterdata.usgs.gov/monitoring-location/400529074260601","USGS-400529074260601"
